GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"fitzpatrick, ageGroup",4.0,,5-9,37,0.16,0.29,0.16,0.27,6,31,31,80,4,0,0.0,28,5,0.55,2,12,0.34,23,0,0.0,18,10,0.52,9,0,0.0,7,9,0.31,20,1,0.12
"fitzpatrick, ageGroup",4.0,,50-54,11,0.0,0.29,0.0,0.33,0,11,11,22,0,1,0.09,10,0,0.0,8,0,0.0,3,0,0.0,0,5,0.45,6,0,0.0,3,5,0.62,3,0,0.0
"fitzpatrick, ageGroup",4.0,,55-59,8,0.0,0.24,0.0,0.33,0,8,8,16,0,1,0.12,7,0,0.0,0,0,0.0,8,0,0.0,0,7,0.87,1,0,0.0,8,0,0.0,0,0,0.0
"fitzpatrick, ageGroup",4.0,,60-64,9,0.0,0.27,0.0,0.33,0,9,9,18,0,2,0.22,7,0,0.0,8,0,0.0,1,0,0.0,0,1,0.11,8,0,0.0,1,6,0.75,2,0,0.0
"fitzpatrick, ageGroup",4.0,,65-69,2,0.12,0.12,0.5,0.16,1,1,1,5,1,0,0.0,0,1,0.5,0,0,0.0,2,0,0.0,0,0,0.0,2,0,0.0,0,1,0.5,1,0,0.0
"fitzpatrick, ageGroup",5.0,,0-4,130,0.17,0.27,0.16,0.27,21,109,109,281,12,8,0.08,91,19,0.61,18,41,0.36,70,1,0.05,45,39,0.46,45,1,0.02,34,21,0.21,75,0,0.0
"fitzpatrick, ageGroup",5.0,,10-14,32,0.18,0.19,0.28,0.23,9,23,23,73,3,4,0.2,16,9,0.75,3,2,0.06,27,0,0.0,0,17,0.53,15,0,0.0,17,0,0.0,15,0,0.0
"fitzpatrick, ageGroup",5.0,,15-19,14,0.12,0.22,0.14,0.28,2,12,12,30,2,1,0.1,9,2,0.5,1,0,0.0,13,0,0.0,0,11,0.78,3,0,0.0,9,0,0.0,5,0,0.0
"fitzpatrick, ageGroup",5.0,,20-24,13,0.0,0.24,0.0,0.33,0,13,13,26,0,3,0.23,10,0,0.0,7,0,0.0,6,0,0.0,0,10,0.76,3,0,0.0,6,0,0.0,7,0,0.0
"fitzpatrick, ageGroup",5.0,,25-29,21,0.12,0.29,0.09,0.3,2,19,19,44,2,1,0.05,16,2,0.5,6,3,0.2,12,0,0.0,0,11,0.52,10,0,0.0,11,4,0.4,6,0,0.0
"fitzpatrick, ageGroup",5.0,,30-34,16,0.16,0.23,0.25,0.25,4,12,12,36,2,2,0.2,8,4,0.66,5,0,0.0,11,0,0.0,0,6,0.37,10,0,0.0,5,4,0.36,7,0,0.0
"fitzpatrick, ageGroup",5.0,,35-39,6,0.0,0.25,0.0,0.33,0,6,6,12,0,0,0.0,6,0,0.0,0,0,0.0,6,0,0.0,0,6,1.0,0,0,0.0,6,0,0.0,0,0,0.0
"fitzpatrick, ageGroup",5.0,,40-44,6,0.12,0.2,0.16,0.27,1,5,5,13,1,0,0.0,4,1,0.5,4,0,0.0,2,0,0.0,0,3,0.5,3,0,0.0,0,2,0.33,4,0,0.0
"fitzpatrick, ageGroup",5.0,,5-9,91,0.1,0.32,0.03,0.32,3,88,88,185,4,5,0.05,79,3,0.42,23,49,0.72,19,0,0.0,32,11,0.18,48,0,0.0,29,23,0.37,39,0,0.0
"fitzpatrick, ageGroup",5.0,,50-54,7,0.0,0.46,0.0,0.33,0,7,7,14,0,1,0.14,6,0,0.0,1,0,0.0,6,0,0.0,0,5,0.71,2,0,0.0,6,1,1.0,0,0,0.0
"fitzpatrick, ageGroup",5.0,,55-59,6,0.16,0.08,0.66,0.11,4,2,2,16,2,0,0.0,0,4,0.66,0,0,0.0,6,0,0.0,0,1,0.16,5,0,0.0,0,1,0.16,5,0,0.0
"fitzpatrick, ageGroup",6.0,,0-4,14,0.28,0.26,0.14,0.28,2,12,12,30,0,2,0.15,11,1,1.0,6,1,0.12,7,0,0.0,0,7,0.5,7,0,0.0,6,2,0.28,5,1,0.14
"fitzpatrick, ageGroup",6.0,,10-14,4,0.12,0.29,0.25,0.25,1,3,3,9,0,0,0.0,4,0,0.0,1,1,0.33,2,0,0.0,1,1,0.33,2,0,0.0,1,1,0.5,1,1,0.5
"fitzpatrick, ageGroup",6.0,,15-19,3,0.25,0.2,0.33,0.22,1,2,2,7,1,0,0.0,2,0,0.0,0,1,0.33,2,0,0.0,0,1,0.5,1,1,1.0,1,0,0.0,2,0,0.0
"fitzpatrick, ageGroup",6.0,,20-24,1,0.0,0.25,0.0,0.33,0,1,1,2,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0
"fitzpatrick, ageGroup",6.0,,25-29,11,0.25,0.24,0.18,0.27,2,9,9,24,1,1,0.11,8,1,0.5,5,0,0.0,6,0,0.0,1,4,0.44,5,1,0.5,2,4,0.44,5,0,0.0
"fitzpatrick, ageGroup",6.0,,30-34,7,0.0,0.31,0.0,0.33,0,7,7,14,1,0,0.0,6,0,0.0,3,0,0.0,4,0,0.0,1,4,0.66,2,0,0.0,2,3,0.6,2,0,0.0
"fitzpatrick, ageGroup",6.0,,35-39,12,0.25,0.23,0.25,0.25,3,9,9,27,0,1,0.11,8,3,1.0,6,1,0.16,5,0,0.0,2,3,0.3,7,0,0.0,1,4,0.36,7,0,0.0
"fitzpatrick, ageGroup",6.0,,40-44,2,0.0,0.25,0.0,0.33,0,2,2,4,0,0,0.0,2,0,0.0,2,0,0.0,0,0,0.0,0,2,1.0,0,0,0.0,0,0,0.0,2,0,0.0
"fitzpatrick, ageGroup",6.0,,45-49,6,0.0,0.25,0.0,0.33,0,6,6,12,1,1,0.2,4,0,0.0,5,0,0.0,1,0,0.0,0,0,0.0,6,0,0.0,0,5,0.83,1,0,0.0
"fitzpatrick, ageGroup",6.0,,5-9,26,0.62,0.23,0.11,0.29,3,23,23,55,1,2,0.08,22,1,0.5,22,0,0.0,4,0,0.0,0,3,0.12,22,1,1.0,0,18,0.72,7,1,1.0
"fitzpatrick, ageGroup",6.0,,60-64,1,0.0,0.25,0.0,0.33,0,1,1,2,0,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0
"sex, ageGroup",,f,0-4,141,0.19,0.25,0.19,0.26,28,113,113,310,13,7,0.06,97,24,0.64,15,57,0.45,68,1,0.06,42,29,0.29,68,2,0.04,43,20,0.2,77,1,0.02
