GroupBy,fitzpatrick,sex,ageGroup,country,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"fitzpatrick, ageGroup",4.0,,15-19,,8,0.44,0.03,0.88,0.04,7.0,1.0,1.0,23.0,0.875,0.0,1.0,0.12,7.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.75,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0
"fitzpatrick, ageGroup",4.0,,20-24,,21,0.32,0.12,0.67,0.11,14.0,7.0,7.0,56.0,0.639,0.0,3.0,0.14,18.0,0.0,0.0,5.0,0.0,0.0,12.0,4.0,0.44,0.0,2.0,0.1,19.0,0.0,0.0,2.0,2.0,0.22,7.0,10.0,0.83
"fitzpatrick, ageGroup",4.0,,25-29,,36,0.5,0.12,0.75,0.08,27.0,9.0,9.0,99.0,0.669,1.0,4.0,0.14,25.0,6.0,0.86,5.0,1.0,0.03,28.0,2.0,0.29,0.0,0.0,0.0,36.0,0.0,0.0,3.0,4.0,0.29,10.0,19.0,0.86
"fitzpatrick, ageGroup",4.0,,30-34,,29,0.56,0.12,0.72,0.09,21.0,8.0,8.0,79.0,0.557,0.0,4.0,0.15,23.0,2.0,1.0,4.0,1.0,0.04,22.0,2.0,0.33,2.0,0.0,0.0,27.0,0.0,0.0,2.0,3.0,0.3,7.0,17.0,0.89
"fitzpatrick, ageGroup",4.0,,35-39,,13,0.25,0.16,0.38,0.21,5.0,8.0,8.0,31.0,0.5,0.0,8.0,0.62,5.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0
"fitzpatrick, ageGroup",4.0,,40-44,,4,0.25,0.12,0.5,0.17,2.0,2.0,2.0,10.0,0.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
"fitzpatrick, ageGroup",4.0,,50-54,,11,0.4,0.08,0.73,0.09,8.0,3.0,3.0,30.0,0.812,0.0,2.0,0.18,9.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,0.62,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.12,7.0,3.0,1.0
"fitzpatrick, ageGroup",4.0,,55-59,,8,0.12,0.12,0.5,0.17,4.0,4.0,4.0,20.0,0.5,0.0,2.0,0.25,6.0,0.0,0.0,0.0,2.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.5
"fitzpatrick, ageGroup",4.0,,60-64,,9,0.22,0.06,0.78,0.07,7.0,2.0,2.0,25.0,0.438,0.0,2.0,0.22,7.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.88,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0
"fitzpatrick, ageGroup",4.0,,65-69,,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"fitzpatrick, ageGroup",5.0,,00-04,,130,0.78,0.07,0.78,0.07,102.0,28.0,28.0,362.0,0.776,17.0,3.0,0.03,96.0,14.0,0.45,3.0,7.0,0.06,104.0,16.0,0.84,6.0,9.0,0.11,75.0,40.0,0.87,2.0,9.0,0.09,87.0,32.0,0.94
"fitzpatrick, ageGroup",5.0,,05-09,,91,0.61,0.12,0.67,0.11,61.0,30.0,30.0,243.0,0.606,5.0,1.0,0.01,83.0,2.0,0.29,0.0,1.0,0.01,67.0,23.0,1.0,0.0,24.0,0.41,35.0,32.0,1.0,25.0,4.0,0.06,58.0,4.0,0.14
"fitzpatrick, ageGroup",5.0,,10-14,,32,0.56,0.12,0.69,0.1,22.0,10.0,10.0,86.0,0.747,7.0,1.0,0.05,19.0,5.0,0.42,0.0,1.0,0.03,28.0,3.0,1.0,0.0,4.0,0.12,28.0,0.0,0.0,3.0,4.0,0.27,11.0,14.0,0.82
"fitzpatrick, ageGroup",5.0,,15-19,,14,0.29,0.2,0.64,0.12,9.0,5.0,5.0,37.0,0.38,3.0,2.0,0.2,8.0,1.0,0.25,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,3.0,0.6,2.0,8.0,0.89
"fitzpatrick, ageGroup",5.0,,20-24,,13,0.32,0.13,0.62,0.13,8.0,5.0,5.0,34.0,0.643,0.0,3.0,0.23,10.0,0.0,0.0,5.0,0.0,0.0,6.0,2.0,0.29,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.29,5.0,6.0,1.0
"fitzpatrick, ageGroup",5.0,,25-29,,21,0.62,0.06,0.81,0.06,17.0,4.0,4.0,59.0,0.826,1.0,0.0,0.0,17.0,3.0,0.75,0.0,2.0,0.13,13.0,6.0,1.0,0.0,2.0,0.1,19.0,0.0,0.0,3.0,0.0,0.0,10.0,8.0,0.73
